Total Reviews,Product Url,ASIN,Title,Author,Format,Publication Date,Publisher
0,https://www.amazon.com/dp/B09KN653PX,B09KN653PX,"Sorry, I'm On My Break Notebook: Funny Customer Service Notebook Blank Lined Journal",The Snarky Yeti,Paperback,"Oct 30, 2021",
0,https://www.amazon.com/dp/B09KN5V7FQ,B09KN5V7FQ,At The Office Journal: Create Your Goals and Write Them Down: Business Journal: Work Journal:,Amazing Grace,Paperback,"Oct 30, 2021",
0,https://www.amazon.com/dp/B09JJ5LKVC,B09JJ5LKVC,"Salon Appointment Book: Daily Client Organizer for Hair Stylists or Other Business, Undated, Daily and Hourly Schedule, 15 Minute Interval, 8 AM to 10 PM",L.O.G. Publishing,Paperback,"Oct 15, 2021",
0,https://www.amazon.com/dp/0645203378,0645203378,Sales Hero: Anyone can become a successful Sales Professional and be a Sales Hero,Sean Rider,Kindle,"Oct 15, 2021",
0,https://www.amazon.com/dp/B09HH8S2NC,B09HH8S2NC,Wow Notebook-Blue dots,Renee Eldridge,Paperback,"Oct 3, 2021",
1,https://www.amazon.com/dp/B09KNGDHZH,B09KNGDHZH,I FEEL RED VENTING NOTEBOOK: 5 inch x 8 inch anger management tool for kids ages 8 and up.,Andrea Cruz,Paperback,"Oct 31, 2021",
0,https://www.amazon.com/dp/B09KN2PMX3,B09KN2PMX3,Girl Name Victoria Women Notebook Stationary Supplies for Kids Teens Girls Journal School Notepad 100 Pages White Blank Lined 6x9' Flower Colourful Light Green Adorable Design Gift Present,Flamingos In Space Publishing,Paperback,"Oct 31, 2021",
0,https://www.amazon.com/dp/B09KNCX18S,B09KNCX18S,"In Everything Give Thanks Three-Year Keepsake Gratitude Journal: One Line A Day Notebook For Women, Three Years Of Thankful Thoughts And Memorable Moments",Blakelee Renee,Paperback,"Oct 31, 2021",
0,https://www.amazon.com/dp/B09KNGDWVQ,B09KNGDWVQ,"Cat Lover's Planner 2022: Crazy Cat Lady's Organiser, Organizer, Daily and Weekly Journal, To Do List, Priorities, At A Glance, 6x9",House and Home,Paperback,"Oct 31, 2021",
0,https://www.amazon.com/dp/B09KNGJQCR,B09KNGJQCR,Dance Is My Life Pink Bullet Journal,Kristen M Hains,Paperback,"Oct 31, 2021",
