Total Reviews,Product Url,ASIN,Title,Author,Format,Publication Date,Publisher
1,https://www.amazon.com/dp/9064107378,9064107378,ANWB knopenboek: een praktische handleiding voor het leggen van meer dan 100 knopen,Gordon Perry,Paperback,Dutch Edition,
0,https://www.amazon.com/dp/849181891X,849181891X,Nacionalismo y música clásica,Anthony D. Smith,Paperback,Spanish Edition,
